Tue Jun 17 20:36:02 2025    backtest.prof

         260882203 function calls (254226825 primitive calls) in 287.482 seconds

   Ordered by: cumulative time
   List reduced from 6722 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    902/1    0.015    0.000  245.822  245.822 {built-in method builtins.exec}
      2/1    0.000    0.000  245.822  245.822 main.py:1(<module>)
      2/1    0.023    0.011  205.732  205.732 main.py:22(main)
      2/1    4.457    2.228  195.681  195.681 C:\Users\beast\Documents\Projects\IBKR_quant_platform\backtest\engine.py:132(run)
  1556105    3.828    0.000  118.855    0.000 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\pandas\core\frame.py:1510(iterrows)
  1556224   12.539    0.000  106.085    0.000 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\pandas\core\series.py:389(__init__)
    25/24    0.280    0.011   82.949    3.456 C:\Users\beast\AppData\Local\Programs\Python\Python312\Lib\threading.py:637(wait)
    25/24    1.231    0.049   72.890    3.037 C:\Users\beast\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
        4    0.032    0.008   63.173   15.793 C:\Users\beast\Documents\Projects\IBKR_quant_platform\backtest\engine.py:95(_load_data_for_day)
        5    1.256    0.251   59.937   11.987 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\pandas\io\sql.py:572(read_sql)
        5    0.000    0.000   39.925    7.985 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\pandas\io\sql.py:1791(read_query)
  1557796    7.551    0.000   36.783    0.000 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
        1    0.001    0.001   32.925   32.925 C:\Users\beast\Documents\Projects\IBKR_quant_platform\backtest\engine.py:28(__init__)
        1    0.000    0.000   32.665   32.665 C:\Users\beast\Documents\Projects\IBKR_quant_platform\backtest\engine.py:79(_get_available_symbols)
     1503    0.001    0.000   32.663    0.022 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\sqlalchemy\engine\result.py:526(iterrows)
     1503    0.001    0.000   32.662    0.022 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\sqlalchemy\engine\cursor.py:2122(_fetchiter_impl)
     1503    0.000    0.000   32.661    0.022 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\sqlalchemy\engine\cursor.py:1099(fetchone)
     1504   32.661    0.022   32.661    0.022 {method 'fetchone' of 'sqlite3.Cursor' objects}
  109/102   15.594    0.143   32.193    0.316 {method 'acquire' of '_thread.lock' objects}
  4682894    7.647    0.000   29.984    0.000 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\pandas\core\series.py:1104(__getitem__)
        5    0.109    0.022   25.709    5.142 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\sqlalchemy\engine\result.py:1319(fetchall)
        5    9.458    1.892   25.600    5.120 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\sqlalchemy\engine\result.py:543(_allrows)
        4    0.001    0.000   20.152    5.038 C:\Users\beast\Documents\Projects\IBKR_quant_platform\strategies\volume_accumulation_strategy.py:33(on_new_day)
        4    1.540    0.385   20.145    5.036 C:\Users\beast\Documents\Projects\IBKR_quant_platform\strategies\volume_accumulation_strategy.py:38(scan_for_candidates)
        5    0.000    0.000   18.667    3.733 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\sqlalchemy\engine\cursor.py:2134(_fetchall_impl)
        5    0.910    0.182   18.667    3.733 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\sqlalchemy\engine\cursor.py:1131(fetchall)
  1557608   10.913    0.000   18.404    0.000 C:\Users\beast\Documents\Projects\IBKR_quant_platform\venv\Lib\site-packages\pandas\core\dtypes\cast.py:1164(maybe_infer_to_datetimelike)
        5   17.757    3.551   17.757    3.551 {method 'fetchall' of 'sqlite3.Cursor' objects}
