date,symbol,poc_dispersion
2023-08-01,SWKS,0.00864137294302433
2023-08-02,SWKS,0.010207246332621173
2023-08-03,SWKS,0.01553846731082058
2023-08-04,SWKS,0.019504032610687668
2023-08-07,SWKS,0.021206989307755563
2023-08-08,SWKS,0.025711694507021383
2023-08-09,SWKS,0.02811744255868571
2023-08-10,SWKS,0.02689730236141691
2023-08-11,SWKS,0.025299582217068704
2023-08-14,SWKS,0.0201252130054299
2023-08-15,SWKS,0.013065183203490094
2023-08-16,SWKS,0.01404459114772283
2023-08-17,SWKS,0.01672159179895955
2023-08-18,SWKS,0.01741611578014878
2023-08-21,SWKS,0.015170256935874352
2023-08-22,SWKS,0.015215002225009672
2023-08-23,SWKS,0.014985085555692425
2023-08-24,SWKS,0.01371226300478376
2023-08-25,SWKS,0.01252478963214656
2023-08-28,SWKS,0.009729893158160429
2023-08-29,SWKS,0.011801656615770843
2023-08-30,SWKS,0.013333518094846857
2023-08-31,SWKS,0.014606565948306921
2023-09-01,SWKS,0.016361999514082824
2023-08-01,CZR,0.014283042922558851
2023-08-02,CZR,0.01983725658500526
2023-08-03,CZR,0.02627377084805251
2023-08-04,CZR,0.028873214222547537
2023-08-07,CZR,0.029080893534470048
2023-08-08,CZR,0.03105557543027392
2023-08-09,CZR,0.02953870535198261
2023-08-10,CZR,0.025725023523606425
2023-08-11,CZR,0.025050053882904034
2023-08-14,CZR,0.01992696608403299
2023-08-15,CZR,0.016198765817087738
2023-08-16,CZR,0.018614983242113352
2023-08-17,CZR,0.021933708271679904
2023-08-18,CZR,0.025943589221518768
2023-08-21,CZR,0.028959541251772237
2023-08-22,CZR,0.03191102314543796
2023-08-23,CZR,0.028823234023919925
2023-08-24,CZR,0.021875448673484045
2023-08-25,CZR,0.020546657667617405
2023-08-28,CZR,0.01740269762332709
2023-08-29,CZR,0.014430634308262387
2023-08-30,CZR,0.015040344569226666
2023-08-31,CZR,0.02190353391217292
2023-09-01,CZR,0.02817966121084623
2023-08-01,NFLX,0.03772236153342593
2023-08-02,NFLX,0.014024135989126479
2023-08-03,NFLX,0.015464979652162186
2023-08-04,NFLX,0.015248986885554643
2023-08-07,NFLX,0.014990368516801945
2023-08-08,NFLX,0.015623861497771785
2023-08-09,NFLX,0.012910319463009431
2023-08-10,NFLX,0.0098765574910117
2023-08-11,NFLX,0.011155782495736725
2023-08-14,NFLX,0.01217622678857405
2023-08-15,NFLX,0.012603136101989314
2023-08-16,NFLX,0.016150395690600183
2023-08-17,NFLX,0.020842673137832154
2023-08-18,NFLX,0.02583761250872891
2023-08-21,NFLX,0.02904396491734641
2023-08-22,NFLX,0.02595252751451497
2023-08-23,NFLX,0.0263725499287193
2023-08-24,NFLX,0.02425554308059685
2023-08-25,NFLX,0.023594722629863948
2023-08-28,NFLX,0.022128115869481182
2023-08-29,NFLX,0.02246569451752472
2023-08-30,NFLX,0.02753210906907641
2023-08-31,NFLX,0.029649461252217915
2023-09-01,NFLX,0.030642326943176264
2023-08-01,LIN,0.011425885538233786
2023-08-02,LIN,0.007754649969730008
2023-08-03,LIN,0.006851618960909941
2023-08-04,LIN,0.0074823956198200705
2023-08-07,LIN,0.007128463435485822
2023-08-08,LIN,0.007708180902632229
2023-08-09,LIN,0.008466466711116366
2023-08-10,LIN,0.008442420425653878
2023-08-11,LIN,0.008446604759995768
2023-08-14,LIN,0.007178865041279873
2023-08-15,LIN,0.00497517270068965
2023-08-16,LIN,0.004681522104999783
2023-08-17,LIN,0.004973935714657029
2023-08-18,LIN,0.006533454021942436
2023-08-21,LIN,0.007288721374896554
2023-08-22,LIN,0.007365339295607026
2023-08-23,LIN,0.007286929588494358
2023-08-24,LIN,0.005892728331366038
2023-08-25,LIN,0.0056062573584589395
2023-08-28,LIN,0.005610959079974158
2023-08-29,LIN,0.007920211181884913
2023-08-30,LIN,0.009853335172258114
2023-08-31,LIN,0.01140369604066892
2023-09-01,LIN,0.012337544955757363
2023-08-01,JKHY,0.013075865270800813
2023-08-02,JKHY,0.012783901081985648
2023-08-03,JKHY,0.012645591835171112
2023-08-04,JKHY,0.01202786517234706
2023-08-07,JKHY,0.010656991798814745
2023-08-08,JKHY,0.007988081622086956
2023-08-09,JKHY,0.009380429150201264
2023-08-10,JKHY,0.00984439815670273
2023-08-11,JKHY,0.008669978352929934
2023-08-14,JKHY,0.006831091876600675
2023-08-15,JKHY,0.007033344979797122
2023-08-16,JKHY,0.03068862803201201
2023-08-17,JKHY,0.04125160308659215
2023-08-18,JKHY,0.046483938251776165
2023-08-21,JKHY,0.05116262998398688
2023-08-22,JKHY,0.052613392756783256
2023-08-23,JKHY,0.05080374032621508
2023-08-24,JKHY,0.046595882891888644
2023-08-25,JKHY,0.04013758999194288
2023-08-28,JKHY,0.028800045646467036
2023-08-29,JKHY,0.011215539958505086
2023-08-30,JKHY,0.011514693688959384
2023-08-31,JKHY,0.010547135678580585
2023-09-01,JKHY,0.010401088345616339
2023-08-01,CPT,0.015649927063580468
2023-08-02,CPT,0.018186252774261287
2023-08-03,CPT,0.022772376124523534
2023-08-04,CPT,0.020236459907445565
2023-08-07,CPT,0.015751706410702854
2023-08-08,CPT,0.014724808368583836
2023-08-09,CPT,0.012234428946369518
2023-08-10,CPT,0.011655249037405387
2023-08-11,CPT,0.011502004491861688
2023-08-14,CPT,0.012073741563384014
2023-08-15,CPT,0.013084167910887587
2023-08-16,CPT,0.013752937671866807
2023-08-17,CPT,0.011774518481721353
2023-08-18,CPT,0.011163917890038537
2023-08-21,CPT,0.009960301206292049
2023-08-22,CPT,0.01060117599138184
2023-08-23,CPT,0.009464775240190666
2023-08-24,CPT,0.008041565897953379
2023-08-25,CPT,0.0072011071377350725
2023-08-28,CPT,0.008976513307204621
2023-08-29,CPT,0.009823075358757987
2023-08-30,CPT,0.01016274004779484
2023-08-31,CPT,0.01042819039287557
2023-09-01,CPT,0.0102031119376652
2023-08-01,HII,0.008051425654098464
2023-08-02,HII,0.007189309906154474
2023-08-03,HII,0.010165039164700747
2023-08-04,HII,0.010266892713714854
2023-08-07,HII,0.010021763780599439
2023-08-08,HII,0.0109676408632574
2023-08-09,HII,0.008376550716656465
2023-08-10,HII,0.008560972651432165
2023-08-11,HII,0.008911698408509786
2023-08-14,HII,0.00867239703060046
2023-08-15,HII,0.00881933751800071
2023-08-16,HII,0.008335196177190718
2023-08-17,HII,0.009322717856139383
2023-08-18,HII,0.011169495119973769
2023-08-21,HII,0.010889575268670345
2023-08-22,HII,0.01145171197058824
2023-08-23,HII,0.011385811043473864
2023-08-24,HII,0.01134279230497737
2023-08-25,HII,0.011339977728142004
